book_id,library_id,title,author,genre,publisher,publication_date,language,isbn,quantity
1,2,Seamless interactive open system,Philip Rodriguez,off,Schmidt PLC,2020-10-22,bem,978-0-11-697500-3,2
2,4,Multi-lateral real-time contingency,Susan Hines,common,Hartman Inc,2023-08-25,eu,978-1-195-79614-5,1
3,2,Triple-buffered demand-driven initiative,Ann Fischer,oil,"Glenn, Pollard and Thompson",2015-03-05,fr,978-1-969327-47-6,1
4,1,Pre-emptive interactive Graphic Interface,Charles Nunez,above,"Herrera, Mooney and Allen",2020-11-20,nhn,978-1-70811-319-3,1
5,5,Centralized context-sensitive synergy,Andrew Johnson,because,Page-Young,2016-12-26,or,978-1-5060-8117-5,1
6,1,Upgradable composite circuit,Patricia Mills,food,"Schneider, Johnson and Mitchell",2023-03-08,ti,978-1-9823-3872-5,2
7,5,Quality-focused zero-defect firmware,Kimberly White,herself,Morrow-Carr,2015-03-22,mt,978-0-7138-5718-4,2
8,5,Enterprise-wide radical knowledgebase,Nicholas Hall,protect,"Murphy, Carroll and Garcia",2023-03-15,en,978-0-224-55232-5,1
9,5,Robust intermediate matrices,Beth Mcdonald,big,Jacobs-Conway,2019-12-16,ss,978-1-199-03966-8,1
10,1,Reduced encompassing adapter,Pamela Harrison,such,Thompson and Sons,2015-08-09,oc,978-1-9734-7481-4,1
11,1,Decentralized optimal productivity,Patricia Willis,possible,Miller-Jones,2020-04-27,doi,978-1-59745-459-9,1
12,4,Cross-platform eco-centric artificial intelligence,Kimberly Sweeney,side,Mclean-Gonzalez,2020-07-31,mn,978-0-02-618118-1,1
13,3,Stand-alone next generation contingency,Louis Mack,wife,Russell Group,2017-10-06,es,978-1-870005-28-9,2
14,2,Realigned executive intranet,Sharon Jimenez,bill,Soto LLC,2018-11-02,pap,978-0-17-024215-8,1
15,3,Networked upward-trending software,Elaine Adams,watch,"Hansen, Gibson and Perez",2023-01-03,ru,978-1-199-62534-2,2
16,3,Fundamental eco-centric time-frame,George Hall,who,"Rodriguez, Fritz and Morrison",2020-01-01,wa,978-1-923982-57-4,2
17,2,Persevering needs-based groupware,Benjamin Lopez,nature,Fernandez Group,2023-09-14,dv,978-0-611-87006-3,2
18,2,Business-focused tertiary artificial intelligence,Tracy Love,when,Martin-Smith,2020-07-20,ayc,978-1-217-54432-7,2
19,4,Sharable actuating approach,Katherine Moore,person,"Mullins, Smith and Bailey",2024-04-19,rw,978-1-66170-374-5,1
20,3,Self-enabling uniform neural-net,Gary Fuller,whether,Doyle Inc,2015-04-22,lo,978-1-196-37083-2,2
21,5,Organized value-added superstructure,Shelly Forbes,health,"Brown, Mendoza and Brown",2024-01-17,mai,978-0-03-677309-3,2
22,4,Automated maximized task-force,Joel Lowe,kid,"York, Castro and Robinson",2023-08-02,sq,978-0-633-75360-3,2
23,2,Face-to-face full-range encoding,Christopher Cameron,network,"Bailey, Alvarez and White",2017-09-11,ik,978-1-4804-3897-2,1
24,1,Re-contextualized dynamic forecast,Walter Johnson,process,Scott Ltd,2024-05-14,ti,978-0-516-99102-3,1
25,3,Realigned fault-tolerant functionalities,Daniel Elliott DDS,better,Hernandez Ltd,2015-10-24,ko,978-1-67436-092-8,1
26,5,Multi-lateral methodical middleware,Lori Hicks,material,"Baker, Massey and Berger",2019-01-24,ru,978-0-07-610145-0,2
27,1,Realigned mobile analyzer,Mr. Timothy Moore Jr.,piece,Martinez-Carr,2016-06-17,hy,978-0-683-46267-8,2
28,2,Face-to-face secondary product,Misty Merritt,establish,Adams-Smith,2019-05-06,nn,978-0-7890-2094-9,1
29,5,Re-contextualized context-sensitive pricing structure,Brittany Morales,firm,Collins-Walker,2021-03-13,bo,978-0-551-09833-6,1
30,5,Universal composite project,Garrett Rodriguez,situation,Murillo-Martin,2015-02-04,ug,978-0-630-89462-0,2
31,2,Networked 5thgeneration knowledge user,Elizabeth Rivera,list,"Robertson, Blackwell and Gillespie",2018-06-06,af,978-0-342-14379-5,2
32,2,Enterprise-wide neutral software,Bethany Long,field,Griffin LLC,2015-03-27,el,978-0-7586-7322-0,2
33,3,Customer-focused system-worthy encryption,Amy Nguyen,let,"Rodriguez, Parker and Cain",2024-02-01,byn,978-0-08-032844-7,1
34,5,Function-based reciprocal flexibility,Holly Ochoa,serious,Burgess-Gibson,2024-05-05,nhn,978-0-17-913019-7,2
35,5,Function-based cohesive monitoring,Amanda Vargas,politics,Hernandez LLC,2016-08-05,my,978-1-4871-4604-7,2
36,2,Implemented reciprocal model,Brandon Graves,high,Lewis Ltd,2018-08-22,de,978-1-71344-455-8,2
37,4,Triple-buffered non-volatile throughput,Molly Caldwell,forward,Padilla-Gilbert,2019-07-01,ti,978-0-236-62280-1,2
38,4,Public-key user-facing strategy,Amy Richards,police,Jones and Sons,2015-07-15,dv,978-0-949501-16-5,2
39,3,Profound clear-thinking infrastructure,Marissa Hernandez,memory,Cook-Clark,2024-05-13,de,978-0-636-82546-8,1
40,3,Managed exuding open system,John Morgan,them,Carr-Gonzalez,2019-09-20,ms,978-0-7455-4299-7,1
41,4,Realigned 24/7 knowledgebase,Peter Marshall,clearly,"Stevens, Lynn and Turner",2021-07-07,lv,978-1-930573-12-3,1
42,5,Universal optimal website,Elijah Williams,artist,"Jones, Le and Gordon",2021-06-17,ts,978-1-81226-645-7,2
43,2,Adaptive interactive Local Area Network,Nicholas Jennings,practice,Owens LLC,2023-07-30,ga,978-1-55633-800-7,1
44,4,Universal modular access,Paul Moore III,general,Hopkins-Dennis,2015-08-04,ayc,978-0-367-63872-6,1
45,4,Visionary eco-centric software,Kimberly Evans,stay,Kennedy-Andrews,2017-11-18,hsb,978-0-669-37007-2,2
46,1,Robust context-sensitive Graphic Interface,Joseph Holden,fly,Powell-Cox,2020-11-16,tk,978-0-935605-67-9,2
47,2,Fully-configurable scalable implementation,Gary Lee,activity,Carson-Frost,2015-06-29,ckb,978-1-58183-456-7,2
48,5,Public-key 4thgeneration service-desk,Lynn Carey,many,Scott-Robinson,2022-03-25,mni,978-1-947277-58-8,1
49,4,Multi-layered hybrid ability,Donna Miller,physical,Pineda-Wilson,2021-11-27,sr,978-1-144-65690-2,1
50,1,Robust global toolset,Julie Smith,tell,Dean-Mcknight,2017-09-29,mi,978-0-421-36365-6,2
51,3,Visionary clear-thinking knowledgebase,Christopher Richardson,start,Boyer PLC,2016-04-17,pt,978-0-283-91515-4,2
52,1,Mandatory executive parallelism,Christina Gilbert,myself,"Burke, Hanson and Mitchell",2018-05-25,am,978-1-892767-61-5,1
53,5,Persevering user-facing framework,Kelly Schneider,knowledge,"Rodriguez, Andrews and Adkins",2022-10-05,pa,978-0-8161-5167-7,2
54,4,Synchronized impactful ability,Ronald Goodman,laugh,"Keith, Johnson and Bridges",2021-03-13,gl,978-0-7899-6166-2,2
55,3,Up-sized explicit policy,Samantha George,final,"Watts, Harris and Taylor",2020-12-24,ig,978-1-68089-146-1,2
56,3,Automated bandwidth-monitored interface,Grant Khan,job,Matthews-Chandler,2018-02-13,niu,978-0-522-47414-5,2
57,1,Realigned contextually-based hub,Rodney Powers,look,"Green, Singh and Yu",2021-12-10,ur,978-0-7766-0161-8,1
58,1,Front-line explicit hierarchy,Joseph Garcia,ten,Hall-Johnson,2019-04-10,lij,978-1-09-224999-7,1
59,2,Virtual composite artificial intelligence,Laurie Martinez,town,Williams LLC,2016-08-21,br,978-0-88261-958-3,2
60,4,Intuitive local function,Allison Mays,or,Owen LLC,2024-01-26,dz,978-0-540-06142-6,1
