hold_id,book_id,user_id,hold_date,expiry_date,status
1,91,3,2024-08-28,2024-09-25,active
2,56,19,2025-05-26,2025-06-19,active
3,90,15,2024-11-12,2024-11-26,borrowed
4,4,35,2024-07-14,2024-08-05,active
5,32,6,2024-11-19,2024-11-28,released
6,3,5,2025-03-31,2025-04-17,borrowed
7,26,50,2025-03-31,2025-04-25,released
8,87,24,2025-05-14,2025-05-31,borrowed
9,97,46,2024-11-04,2024-11-29,released
10,80,49,2024-12-08,2025-01-01,borrowed
11,41,33,2025-02-20,2025-03-04,borrowed
12,51,45,2024-08-13,2024-08-28,borrowed
13,81,33,2024-09-09,2024-10-07,active
14,49,3,2024-09-15,2024-10-14,borrowed
15,44,47,2024-11-23,2024-12-12,released
16,36,1,2024-12-08,2025-01-01,borrowed
17,65,37,2024-07-11,2024-07-27,active
18,14,12,2024-09-22,2024-10-01,active
19,18,22,2025-03-26,2025-04-13,released
20,43,19,2024-10-18,2024-11-04,borrowed
21,13,35,2025-01-26,2025-02-10,borrowed
22,49,19,2024-07-11,2024-08-02,borrowed
23,73,36,2024-11-15,2024-12-07,active
24,1,47,2024-11-22,2024-12-15,active
25,73,2,2025-05-12,2025-05-25,borrowed
26,24,4,2024-10-17,2024-10-28,borrowed
27,12,8,2024-09-20,2024-09-30,released
28,60,25,2024-10-15,2024-10-28,released
29,1,49,2025-04-08,2025-04-25,borrowed
30,25,1,2024-09-06,2024-09-22,borrowed
31,15,12,2025-01-22,2025-02-12,borrowed
32,48,28,2025-03-07,2025-04-03,borrowed
33,78,47,2024-07-21,2024-08-05,released
34,20,9,2024-11-06,2024-11-20,released
35,78,19,2025-05-25,2025-06-03,borrowed
36,57,16,2025-05-14,2025-06-13,released
37,15,35,2025-06-24,2025-07-01,borrowed
38,56,24,2024-11-16,2024-12-01,released
39,77,47,2025-06-08,2025-06-23,released
40,31,39,2025-03-19,2025-04-07,released
41,95,46,2024-11-24,2024-12-05,active
42,65,44,2024-09-04,2024-10-01,active
43,18,18,2025-06-26,2025-07-23,released
44,38,34,2024-07-22,2024-08-17,borrowed
45,17,16,2025-06-12,2025-07-08,released
46,72,6,2025-03-03,2025-03-15,active
47,47,23,2025-03-19,2025-03-26,released
48,46,33,2025-05-25,2025-06-01,active
49,80,5,2025-01-22,2025-02-10,borrowed
50,75,40,2025-05-21,2025-05-28,active
51,54,15,2024-08-03,2024-08-25,released
52,92,45,2024-08-07,2024-08-16,borrowed
53,66,24,2024-08-24,2024-09-23,borrowed
54,91,38,2024-08-02,2024-08-28,active
55,61,4,2025-02-03,2025-03-02,released
56,98,18,2024-07-25,2024-08-02,borrowed
57,74,37,2024-09-27,2024-10-15,released
58,52,15,2024-12-21,2025-01-06,active
59,18,30,2024-12-19,2025-01-06,released
60,54,20,2024-09-10,2024-09-20,active
61,41,35,2025-04-17,2025-05-02,active
62,4,42,2024-11-15,2024-12-08,active
63,58,17,2025-06-02,2025-06-27,borrowed
64,52,36,2024-09-24,2024-10-15,borrowed
65,12,50,2025-03-28,2025-04-20,released
66,100,26,2025-06-15,2025-06-29,borrowed
67,69,42,2025-04-14,2025-05-01,borrowed
68,64,49,2025-06-07,2025-06-29,released
69,46,40,2024-11-25,2024-12-08,borrowed
70,78,42,2024-10-09,2024-10-19,borrowed
71,1,21,2024-09-18,2024-09-29,released
72,71,6,2025-04-16,2025-04-26,active
73,56,46,2025-02-23,2025-03-03,borrowed
74,43,2,2024-08-31,2024-09-07,released
75,85,16,2024-07-23,2024-08-20,active
76,24,36,2024-09-11,2024-09-29,active
77,85,3,2024-10-12,2024-10-31,active
78,80,31,2025-03-09,2025-03-18,borrowed
79,48,19,2025-04-26,2025-05-14,active
80,15,5,2024-12-01,2024-12-29,active
81,61,12,2024-11-12,2024-11-21,active
82,73,43,2025-03-12,2025-04-09,active
83,43,45,2024-09-05,2024-09-30,active
84,92,5,2025-01-17,2025-02-14,released
85,75,28,2024-08-15,2024-08-29,borrowed
86,25,17,2025-03-11,2025-03-24,borrowed
87,67,1,2025-05-01,2025-05-18,active
88,96,32,2024-12-08,2024-12-19,borrowed
89,74,46,2025-04-13,2025-04-24,borrowed
90,24,11,2024-12-02,2024-12-20,released
91,55,10,2024-09-10,2024-09-20,borrowed
92,96,42,2025-03-03,2025-03-21,borrowed
93,87,42,2024-11-02,2024-12-01,released
94,43,7,2025-03-18,2025-03-25,active
95,7,24,2024-08-09,2024-08-20,released
96,9,22,2024-08-27,2024-09-16,released
97,54,34,2025-01-20,2025-02-07,released
98,38,40,2024-12-08,2024-12-15,borrowed
99,46,9,2024-12-27,2025-01-14,released
100,67,28,2025-07-07,2025-08-03,active
