loan_id,book_id,user_id,loan_date,due_date,return_date
1,14,19,2024-06-13,2024-06-27,2024-06-27
2,48,38,2023-07-11,2023-07-25,
3,60,31,2023-10-16,2023-10-30,
4,85,44,2023-09-07,2023-09-21,2023-09-18
5,90,25,2024-02-17,2024-03-02,2024-02-20
6,30,42,2024-05-14,2024-05-28,2024-05-22
7,79,9,2023-09-12,2023-09-26,
8,12,49,2024-07-01,2024-07-15,2024-07-10
9,28,40,2023-09-26,2023-10-10,2023-10-01
10,62,39,2023-07-12,2023-07-26,2023-07-22
11,38,37,2024-05-21,2024-06-04,2024-05-27
12,65,15,2023-09-23,2023-10-07,2023-10-04
13,33,34,2024-05-06,2024-05-20,2024-05-15
14,98,4,2023-07-22,2023-08-05,2023-08-05
15,80,7,2023-07-16,2023-07-30,2023-07-30
16,37,24,2023-09-09,2023-09-23,2023-09-20
17,33,36,2023-07-26,2023-08-09,2023-08-03
18,82,8,2024-06-22,2024-07-06,2024-06-23
19,92,11,2023-12-16,2023-12-30,2023-12-21
20,41,47,2023-12-18,2024-01-01,2023-12-24
21,9,4,2024-07-01,2024-07-15,
22,81,11,2024-05-12,2024-05-26,
23,38,43,2024-06-20,2024-07-04,2024-06-28
24,27,1,2024-04-28,2024-05-12,2024-05-05
25,33,18,2024-01-29,2024-02-12,2024-02-01
26,6,28,2024-01-06,2024-01-20,2024-01-07
27,55,42,2024-02-15,2024-02-29,2024-02-29
28,80,16,2023-10-31,2023-11-14,
29,100,21,2024-06-21,2024-07-05,2024-07-03
30,66,3,2023-08-08,2023-08-22,2023-08-11
31,98,15,2024-06-06,2024-06-20,2024-06-18
32,70,18,2023-09-08,2023-09-22,2023-09-14
33,83,33,2023-12-17,2023-12-31,2023-12-20
34,60,44,2023-09-15,2023-09-29,2023-09-18
35,50,46,2023-10-12,2023-10-26,2023-10-24
36,82,7,2024-02-13,2024-02-27,2024-02-14
37,10,23,2023-12-02,2023-12-16,
38,79,29,2023-10-17,2023-10-31,
39,55,28,2024-01-13,2024-01-27,
40,43,10,2023-12-24,2024-01-07,2023-12-28
41,84,20,2023-09-30,2023-10-14,2023-10-04
42,72,1,2024-03-28,2024-04-11,2024-03-30
43,37,6,2023-10-12,2023-10-26,2023-10-16
44,32,47,2023-08-18,2023-09-01,2023-08-23
45,76,16,2024-06-04,2024-06-18,
46,7,43,2023-08-24,2023-09-07,2023-09-07
47,76,6,2023-07-22,2023-08-05,
48,59,23,2023-09-21,2023-10-05,2023-09-29
49,51,19,2024-05-12,2024-05-26,2024-05-14
50,3,5,2023-10-18,2023-11-01,
51,18,8,2024-07-01,2024-07-15,2024-07-12
52,45,48,2023-11-11,2023-11-25,2023-11-20
53,4,9,2024-03-19,2024-04-02,2024-03-20
54,37,32,2024-06-08,2024-06-22,
55,18,48,2024-04-02,2024-04-16,2024-04-05
56,74,31,2023-12-21,2024-01-04,
57,57,21,2024-05-27,2024-06-10,2024-06-04
58,15,2,2023-10-30,2023-11-13,
59,28,50,2023-12-27,2024-01-10,2023-12-30
60,66,41,2024-04-22,2024-05-06,2024-05-02
61,27,2,2024-03-22,2024-04-05,2024-03-30
62,4,5,2023-10-17,2023-10-31,2023-10-29
63,45,45,2024-05-03,2024-05-17,2024-05-06
64,88,35,2023-12-07,2023-12-21,
65,62,40,2024-05-05,2024-05-19,
66,59,27,2024-05-18,2024-06-01,2024-05-22
67,97,30,2024-05-24,2024-06-07,
68,3,37,2023-09-23,2023-10-07,2023-10-03
69,48,3,2024-01-24,2024-02-07,2024-01-28
70,2,32,2024-04-05,2024-04-19,
71,40,17,2023-11-12,2023-11-26,2023-11-19
72,86,26,2024-04-22,2024-05-06,2024-04-27
73,86,26,2023-08-10,2023-08-24,2023-08-13
74,11,29,2023-09-05,2023-09-19,2023-09-14
75,58,13,2024-02-01,2024-02-15,
76,34,14,2024-01-09,2024-01-23,2024-01-21
77,60,12,2024-03-28,2024-04-11,2024-04-11
78,93,17,2023-12-27,2024-01-10,2023-12-29
79,56,25,2024-05-02,2024-05-16,2024-05-13
80,49,35,2023-12-12,2023-12-26,2023-12-24
81,78,13,2023-10-12,2023-10-26,2023-10-16
82,15,30,2024-06-08,2024-06-22,2024-06-15
83,12,20,2023-07-10,2023-07-24,2023-07-23
84,33,12,2023-09-26,2023-10-10,2023-10-06
85,23,22,2023-11-18,2023-12-02,
86,12,38,2023-12-27,2024-01-10,2024-01-05
87,18,46,2023-11-01,2023-11-15,2023-11-11
88,19,39,2024-04-05,2024-04-19,2024-04-11
89,46,36,2024-06-09,2024-06-23,2024-06-15
90,26,34,2023-10-16,2023-10-30,
91,57,50,2023-11-10,2023-11-24,2023-11-22
92,81,45,2023-10-16,2023-10-30,2023-10-21
93,94,27,2023-12-24,2024-01-07,2024-01-06
94,17,41,2023-10-08,2023-10-22,2023-10-21
95,54,22,2024-05-29,2024-06-12,2024-06-08
96,78,10,2023-08-13,2023-08-27,2023-08-24
97,38,33,2024-05-17,2024-05-31,2024-05-18
98,75,49,2023-10-26,2023-11-09,2023-11-03
99,47,24,2024-04-24,2024-05-08,2024-04-30
100,12,14,2023-07-10,2023-07-24,
